X,Y,gid,name,gods,religion,funding,organize,address,promoter,tel,lng,lat,address_ac,ver,linkplone,main_name,era,geo_kind,countyname,villagenam,townname,data_sourc,t_code,deity_host,era_end,year_accur,deity_comp,registered,icon_url
119.677333998436,23.5787560022045,"13659",?葉將軍廟,將軍爺,taoism,raising,person,澎湖縣湖西鄉?葉村,陳怡然,06-9923115,119.677333998435998,23.578756002204500,,"4",,,,gps,澎湖縣,?葉村,湖西鄉,fieldwork,1602022-GIJJM,{},,,{},,./0.png
119.655502006695,23.5883999981168,"13662",湖西村玉明宮,李府王爺,taoism,private,person,澎湖縣湖西鄉湖西村,,,119.655502006695002,23.588399998116799,,"4",,王爺,,gps,澎湖縣,白坑村,湖西鄉,fieldwork,1602001-YMG,{王爺},,,{},,./0.png
119.662921999206,23.5850249960679,"13675",湖東村土地公廟,福德正神,taoism,raising,person,澎湖縣湖西鄉湖東村,許君潤,06-9922288,119.662921999206006,23.585024996067901,,"4",,土地公,,gps,澎湖縣,南寮村,湖西鄉,fieldwork,1602002-TDGM,{土地公},,,{},,./0.png
119.629686003384,23.6053239997096,"13658",土地公前北極殿,玄天上帝,taoism,raising,person,澎湖縣湖西鄉沙港東村14號,歐春評,06-9211606,119.629686003383995,23.605323999709601,,"4",,玄天上帝,,gps,澎湖縣,沙港村,湖西鄉,fieldwork,1602015-TDGQBJD,{玄天上帝},,,{},,./0.png
119.659334003501,23.5856779961938,"13661",湖西村天后?,天上聖母,taoism,raising,person,澎湖縣湖西鄉湖西村1號,,,119.659334003501002,23.585677996193802,,"4",,天上聖母,"1786",gps,澎湖縣,湖西村,湖西鄉,fieldwork,1602001-HXTHG,{天上聖母},,,{},,./0.png
119.629383001588,23.6045029995251,"13663",沙港東村聖帝殿,關聖帝君,taoism,private,,澎湖縣湖西鄉沙港東村19號,,,119.629383001587996,23.604502999525099,,"4",,關聖帝君,,gps,澎湖縣,沙港村,湖西鄉,fieldwork,1602015-SDD,{關聖帝君},,,{},,./0.png
119.615144999496,23.5992979962416,"13664",西寮代天宮,伍府王爺,taoism,raising,person,澎湖縣湖西鄉中西村28號,薛武吉,06-9274276,119.615144999495996,23.599297996241599,,"4",,王爺,"1821",gps,澎湖縣,中西村,湖西鄉,fieldwork,1602011-XLDTG,{王爺},,,{},,./0.png
119.501339002009,23.5675399979675,"13691",礁南宮,礁角公,,raising,person,澎湖縣西嶼鄉內垵村,,,119.501339002009004,23.567539997967501,,"4",,,,gps,澎湖縣,內垵村,西嶼鄉,fieldwork,1604010-JNG,{},,,{},,./0.png
119.584157971782,23.5576952409774,"11270",柳星君祠,柳星君,taoism,raising,person,澎湖縣馬公市案山里12-3號,鄭榮達,06-9275476.06-9215476,119.584157971782005,23.557695240977399,6.000000000000000,"4",,柳星君,,address,澎湖縣,東文里,馬公市,governmental,1602013-LXJC,{柳星君},,,{},柳星君祠,./0.png
119.566032,23.565404,"11205",福德祠,福德正神,taoism,raising,person,澎湖縣馬公市啟明里仁愛路福德巷3-1號,謝錦宗,宅06-9275719,119.566032000000007,23.565404000000001,6.000000000000000,"4",,土地公,,address,澎湖縣,光明里,馬公市,governmental,1601005-FDC,{土地公},,,{},福德祠,./0.png
